latitude,longitude,altitude,geometry,@id,amenity,denomination,name,religion,name:de,name:en,name:pl,name:ru,wheelchair,wikidata,wikipedia,historic,tourism,note,name:el,source,building,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,survey:date,addr:country,short_name,official_name,operator,description,level,phone,alt_name,start_date,opening_hours,website
37.9338112,23.6265539,,Point,node/7362520823,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1145958,23.8799664,,Point,node/7363165226,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9272132,23.9854386,,Point,node/7487499744,place_of_worship,greek_orthodox,,christian,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,
38.1383858,23.8778913,,Point,node/7532562707,place_of_worship,greek_orthodox,Ιερά Μονή Αγίας Σκέπης,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1359719,23.8734454,,Point,node/7532670149,place_of_worship,greek_orthodox,Μονή Οσίου Θεοδοσίου του Κοινοβιάρχου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1387397,23.8801625,,Point,node/7532675338,place_of_worship,greek_orthodox,Ιερά Μονή Αγίου Γεωργίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8377826,24.010584,,Point,node/7533369679,place_of_worship,greek_orthodox,Μονή Μεταμορφώσεως Σωτήρος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.938533,23.6395844,,Point,node/7627875342,place_of_worship,,Άγιος Νικόλαος,,,,,,,,,,,,,,,,,,,,,,,,,"Ελληνική ορθόδοξη εκκλησία ""Άγιος Νικόλαος""",,,,,,
37.9125849,23.7450583,,Point,node/7686341685,place_of_worship,,,,,UNIVAR SOLUTIONS ΕΠΕ,,,,,,,,,,,,,,,,,,,,,,,,+302109739973,,,Mo-Su 09:00-17:00,
37.8400875,23.7619946,,Point,node/7796142038,place_of_worship,,Ενοριακός Ναός Αγίων Αποστόλων,,,,,,,,,,,,,,,,,1,,Δάφνης,,,,,,,,,,,,
38.1078667,23.725537,,Point,node/7884385004,place_of_worship,orthodox,Ιερός ναός Αγίου Σώζοντα,christian,,,,,,,,,,,,,,Αχαρνές,,,136 74,,,,,,,,,,,,,http://www.imiliou.gr/naos/axarnes/content/agioy-sozontos-kataylismoy-kapota-axarnon
38.1309611,23.6566562,,Point,node/7890134339,place_of_worship,greek_orthodox,ΜΟΝΗ ΚΛΕΙΣΤΩΝ  (Κοιμήσεως της Θεοτόκου),christian,,,,,,,,,,Γυναικεία Μονή.,,,,,,,,,,,,,,,,,,,,
37.8511273,23.8737136,,Point,node/8172092050,place_of_worship,orthodox,Family  Pappas Vasileios,christian,,,,,,,,,,Family Pappas Vasileios,,,,,,366,19400,Κορωπίου - Αγίας Μαρίνας,,,,,,,,,,,,
38.0087892,23.6692568,,Point,node/8196144095,place_of_worship,orthodox,Άγιος Ανδρέας,christian,,,,,,,,,,,,,,Χαϊδάρι,,12,12461,Κόδρου,,,,,,,,,,,,
